id,scale,method,psnr,ssim,mae
1969798d-9f10-47c7-8174-f09edd723c4d,4,Bicubic,30.68149185180664,0.6379877328872681,0.022167494520545006
1969798d-9f10-47c7-8174-f09edd723c4d,4,Lanczos,30.726009368896484,0.641822099685669,0.022083919495344162
1969798d-9f10-47c7-8174-f09edd723c4d,8,Bicubic,29.947895050048828,0.5926011800765991,0.023617412894964218
1969798d-9f10-47c7-8174-f09edd723c4d,8,Lanczos,29.9777889251709,0.5948542952537537,0.02356312796473503
000ffd84-5baa-410f-bcd4-f573b3ef1e90,2,Bicubic,37.307899475097656,0.9251855611801147,0.008742853999137878
000ffd84-5baa-410f-bcd4-f573b3ef1e90,2,Lanczos,37.56987380981445,0.9290737509727478,0.008523238822817802
000ffd84-5baa-410f-bcd4-f573b3ef1e90,4,Bicubic,33.93653106689453,0.8650225400924683,0.012462366372346878
000ffd84-5baa-410f-bcd4-f573b3ef1e90,4,Lanczos,34.11960220336914,0.8681821823120117,0.012339212000370026
000ffd84-5baa-410f-bcd4-f573b3ef1e90,8,Bicubic,31.064678192138672,0.7949123382568359,0.016495540738105774
000ffd84-5baa-410f-bcd4-f573b3ef1e90,8,Lanczos,31.217870712280273,0.7976746559143066,0.01639038696885109
12dfd514-c8fd-43a0-9752-5c115499352c,2,Bicubic,47.3017692565918,0.9937335848808289,0.001924051670357585
12dfd514-c8fd-43a0-9752-5c115499352c,2,Lanczos,48.1156005859375,0.9940380454063416,0.0018400652334094048
12dfd514-c8fd-43a0-9752-5c115499352c,4,Bicubic,39.88996887207031,0.9823545217514038,0.003929417114704847
12dfd514-c8fd-43a0-9752-5c115499352c,4,Lanczos,40.37028884887695,0.9825354814529419,0.0038943104445934296
12dfd514-c8fd-43a0-9752-5c115499352c,8,Bicubic,34.20073318481445,0.95412677526474,0.007167672272771597
12dfd514-c8fd-43a0-9752-5c115499352c,8,Lanczos,34.61262893676758,0.9536218047142029,0.007131222635507584
1a807899-4d50-4a4b-9889-4bdbaa295837,2,Bicubic,45.61053466796875,0.9851204752922058,0.003443972673267126
1a807899-4d50-4a4b-9889-4bdbaa295837,2,Lanczos,46.33316421508789,0.9869064688682556,0.003170566400513053
1a807899-4d50-4a4b-9889-4bdbaa295837,4,Bicubic,38.910316467285156,0.9474540948867798,0.0070968810468912125
1a807899-4d50-4a4b-9889-4bdbaa295837,4,Lanczos,39.29975509643555,0.951370120048523,0.006868707947432995
1a807899-4d50-4a4b-9889-4bdbaa295837,8,Bicubic,34.34142303466797,0.8677325248718262,0.01148119568824768
1a807899-4d50-4a4b-9889-4bdbaa295837,8,Lanczos,34.55945587158203,0.8728272318840027,0.011271730065345764
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,2,Bicubic,23.84258460998535,0.6744639277458191,0.050733089447021484
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,2,Lanczos,24.063465118408203,0.699668288230896,0.049434177577495575
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,4,Bicubic,21.350543975830078,0.3896830976009369,0.06669633090496063
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,4,Lanczos,21.45569610595703,0.40738219022750854,0.06614550948143005
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,8,Bicubic,19.857694625854492,0.2030349224805832,0.07576962560415268
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,8,Lanczos,19.913545608520508,0.21186161041259766,0.07570785284042358
0a18f121-1894-44bc-aed1-64803053eedd,2,Bicubic,24.611125946044922,0.6455695629119873,0.045916490256786346
0a18f121-1894-44bc-aed1-64803053eedd,2,Lanczos,24.844205856323242,0.6772817373275757,0.04459207504987717
0a18f121-1894-44bc-aed1-64803053eedd,4,Bicubic,22.411916732788086,0.31109631061553955,0.05962400883436203
0a18f121-1894-44bc-aed1-64803053eedd,4,Lanczos,22.44460678100586,0.32382404804229736,0.059378933161497116
0a18f121-1894-44bc-aed1-64803053eedd,8,Bicubic,21.882102966308594,0.19746056199073792,0.063296839594841
0a18f121-1894-44bc-aed1-64803053eedd,8,Lanczos,21.897308349609375,0.20088791847229004,0.06320508569478989
